Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
21St Century Fincl Svcs LLC,www.21cfs.com,,$0-1 Million,0-25,Business Services : Business Services Other,,,101 S Palmetto Ave Ste 3,,Daytona Beach,United States,FL,32114-4331,386.258.6700,,21St Century Fincl Svcs LLC is one of the leading providers in Business Services.  It is based in Daytona Beach; FL.  To find more information about 21St Century Fincl Svcs LLC; please visit www.21cfs.com,,,,
21st Century Insurance,www.21st.com,,$0-1 Million,0-25,Business Services : Business Services Other,,,24 r&R 44 E Bridge St Ste 203,,Oswego,United States,NY,13126-2168,315.342.8363,,21st Century Insurance is one of the leading providers in Business Services.  It is based in Oswego; NY.  To find more information about 21st Century Insurance; please visit www.21st.com,,,,
21st Century Group LLC,www.21stcenturygroupfund.com,,$10-50 Million,1K-10K,Retail : Retail Other,,,222 N la Salle St Ste 1930,,Chicago,United States,IL,60601-1102,312.704.0247,,21st Century Group LLC is one of the leading providers in Retail.  It is based in Chicago; IL.  To find more information about 21st Century Group LLC; please visit www.21stcenturygroupfund.com,,,,
22 Squared,www.22squared.com,,$50-100 Million,100-250,Business Services : Business Services Other,,,1170 Peachtree St NE,,Atlanta,United States,GA,30309-7649,404.347.8700,,22 Squared is one of the leading providers in Business Services.  It is based in Atlanta; GA.  To find more information about 22 Squared; please visit www.22squared.com.,,,,
2J Supply Co,www.2-jsupply.com,,$100-250 Million,25-100,Wholesale & Distribution : Wholesale & Distribution Other,,,868 Goodale Blvd,,Columbus,United States,OH,43212-3825,614.228.2424,,2J Supply Co is one of the leading providers in Wholesale & Distribution.  It is based in Columbus; OH.  To find more information about 2J Supply Co; please visit www.2-jsupply.com.,,,,
360i LLC,www.360i.com,,$50-100 Million,250-1000,Business Services : Business Services Other,,,28 W 23rd St Fl 6,,New York,United States,NY,10010-5259,888.360.9630,,360i LLC is one of the leading providers in Business Services.  It is based in New York; NY.  To find more information about 360i LLC; please visit www.360i.com.,,,,
365 Main Incorporated,www.365main.com,,$10-50 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,365 Main St,,San Francisco,United States,CA,94105-2009,415.901.5700,,365 Main Incorporated is one of the leading providers in Computers & Electronics.  It is based in San Francisco; CA.  To find more information about 365 Main Incorporated; please visit www.365main.com.,,,,
3Degrees,www.3degreesinc.com,,$10-50 Million,100-250,Energy & Utilities : Energy & Utilities Other,,,38 Keyes Ave,,San Francisco,United States,CA,94129-1707,415.449.0500,,3Degrees is one of the leading providers in Energy & Utilities.  It is based in San Francisco; CA.  To find more information about 3Degrees; please visit www.3degreesinc.com.,,,,
3-GIS,www.3-gis.com,,$10-50 Million,25-100,Business Services : Business Services Other,,,350 Market St NE Ste C,,Decatur,United States,AL,35601-1997,256.560.0744,,3-GIS is one of the leading providers in Business Services.  It is based in Decatur; AL.  To find more information about 3-GIS; please visit www.3-gis.com.,,,,
3-GIS,www.3-gis.com,,$10-50 Million,25-100,Business Services : Business Services Other,,,350 Market St NE Ste C,,Decatur,United States,AL,35601-1997,256.560.0744,,3-GIS is one of the leading providers in Business Services.  It is based in Decatur; AL.  To find more information about 3-GIS; please visit www.3-gis.com.,,,,
3PD; Inc.,www.3pd.com,,$250-500 Million,250-1000,Transportation & Storage : Transportation & Storage Other,,,1851 W Oak Pkwy Ste 100,,Marietta,United States,GA,30062-2285,678.486.3000,,3PD; Inc. is one of the leading providers in Transportation & Storage.  It is based in Marietta; GA.  To find more information about 3PD; Inc.; please visit www.3pd.com.,,,,
Three Rivers Natural Resources,www.3rnr.com,,$50-100 Million,25-100,Energy & Utilities : Energy & Utilities Other,,,1122 S Capital Of Texas Hwy Ste 325,,Austin,United States,TX,78746-6747,512.600.4329,,Three Rivers Natural Resources is one of the leading providers in Energy & Utilities.  It is based in Austin; TX.  To find more information about Three Rivers Natural Resources; please visit www.3rnr.com.,,,,
3SAE Technologies; Inc.,www.3sae.com,,$1-10 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,318 Seaboard Ln Ste 212,,Franklin,United States,TN,37067-8289,615.778.8812,,3SAE Technologies; Inc. is one of the leading providers in Computers & Electronics.  It is based in Franklin; TN.  To find more information about 3SAE Technologies; Inc.; please visit www.3sae.com.,,,,
3VR Security,www.3vr.com,,$10-50 Million,100-250,Computers & Electronics : Computers & Electronics Other,,,475 Brannan St Ste 430,,San Francisco,United States,CA,94107-5421,415.495.5790,,3VR Security is one of the leading providers in Computers & Electronics.  It is based in San Francisco; CA.  To find more information about 3VR Security; please visit www.3vr.com.,,,,
4Imprint; Inc.,www.4imprint.com,,$100-250 Million,250-1000,Business Services : Business Services Other,,,101 Commerce St,,Oshkosh,United States,WI,54901-4864,888.298.8190,,4Imprint; Inc. is one of the leading providers in Business Services.  It is based in Oshkosh; WI.  To find more information about 4Imprint; Inc.; please visit www.4imprint.com.,,,,
4Medica,www.4medica.com,,$1-10 Million,100-250,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,100 Corporate Pointe Ste 200,,Culver City,United States,CA,90230-8755,310.348.4100,,4Medica is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Culver City; CA.  To find more information about 4Medica; please visit www.4medica.com,,,,
4Medica,www.4medica.com,,$1-10 Million,25-100,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,100 Corporate Pointe Ste 200,,Culver City,United States,CA,90230-8755,310.348.4100,,4Medica is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Culver City; CA.  To find more information about 4Medica; please visit www.4medica.com.,,,,
Advanced Circuits; Inc.,www.4pcb.com,,$10-50 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,21101 E 32nd Pkwy,,Aurora,United States,CO,80011-8149,303.576.6610,,From the beginning; Advanced Circuits has focused on knowing customers and responding with innovations that meet their needs.                     ,,,,
Radiology Affiliates Imaging; LLC,www.4rai.com,,$0-1 Million,0-25,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,3120 Princeton Pike,,Lawrenceville,United States,NJ,08648-2325,609.585.8800,,Radiology Affiliates Imaging; LLC is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Lawrenceville; NJ.  To find more information about Radiology Affiliates Imaging; LLC; please visit www.4rai.com,,,,
5280 Solutions LLC,www.5280solutions.com,,$1-10 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,8740 Lucent Blvd Ste 400,,Littleton,United States,CO,80129-2510,303.696.5280,,5280 Solutions LLC is one of the leading providers in Computers & Electronics.  It is based in Littleton; CO.  To find more information about 5280 Solutions LLC; please visit www.5280solutions.com.,,,,
66 Federal Credit Union,www.66fcu.org,,$1-10 Million,25-100,Business Services : Business Services Other,,,15821 Ventura Blvd Ste 185,,Encino,United States,CA,91436-4799,818.285.1840,,66 Federal Credit Union is one of the leading providers in Business Services.  It is based in Encino; CA.  To find more information about 66 Federal Credit Union; please visit www.66fcu.org,,,,
Seven Seas Water Corporation,www.7seaswater.com,,$10-50 Million,25-100,Energy & Utilities : Energy & Utilities Other,,,14400 Carlson Cir,,Tampa,United States,FL,33626-3005,813.855.8636,,Seven Seas Water Corporation is one of the leading providers in Energy & Utilities.  It is based in Tampa; FL.  To find more information about Seven Seas Water Corporation; please visit www.7seaswater.com.,,,,
911 ETC Incorporated,www.911etc.com,,$1-10 Million,1K-10K,Telecommunications : Telecommunications Other,,,15655 W Roosevelt St,,Goodyear,United States,AZ,85338,480.719.8555,,911 ETC Incorporated is one of the leading providers in Telecommunications.  It is based in Goodyear; AZ.  To find more information about 911 ETC Incorporated; please visit www.911etc.com.,,,,
9NEWS,www.9news.com,,$10-50 Million,100-250,Media & Entertainment : Media & Entertainment Other,,,500 E Speer Blvd,,Denver,United States,CO,80203-4187,303.871.1799,,9NEWS is one of the leading providers in Media & Entertainment.  It is based in Denver; CO.  To find more information about 9NEWS; please visit www.9news.com.,,,,
A10 Networks,www.a10networks.com,,$50-100 Million,100-250,Computers & Electronics : Computers & Electronics Other,,,2309 Bering Dr,,San Jose,United States,CA,95131-1125,408.325.8668,,A10 Networks is one of the leading providers in Computers & Electronics.  It is based in San Jose; CA.  To find more information about A10 Networks; please visit www.a10networks.com.,,,,
A1 Teletronics Inc.,www.a1teletronics.com,,$1-10 Million,25-100,Telecommunications : Telecommunications Other,,,1010 118th Ave N,,Saint Petersburg,United States,FL,33716-2332,727.576.5001,,A1 Teletronics Inc. is one of the leading providers in Telecommunications.  It is based in Saint Petersburg; FL.  To find more information about A1 Teletronics Inc.; please visit www.a1teletronics.com.,,,,
AAA Cooper Transportation,www.aaacooper.com,,$250-500 Million,1K-10K,Transportation & Storage : Transportation & Storage Other,,,1751 Kinsey Rd,,Dothan,United States,AL,36303-5877,334.793.2284,,Large or small; long haul or short haul; AAA Cooper Transportation has the people; equipment; and expertise to handle every shipment with care; and to deliver on time; every time.         ,,,,
American Association of Community Colleges,www.aacc.nche.edu,,$0-1 Million,0-25,Non-profit : Non-profit Other,,,1 Dupont Cir NW Ste 410,,Washington,United States,DC,20036-1145,202.728.0200,,American Association of Community Colleges is one of the leading providers in Non-Profit.  It is based in Washington; DC.  To find more information about American Association of Community Colleges; please visit www.aacc.nche.edu,,,,
Associated Agency Group,www.aag-services.com,,$0-1 Million,0-25,Financial Services : Financial Services Other,,,1550 Wilson Blvd Ste 701,,Arlington,United States,VA,22209-2435,703.875.8660,,Associated Agency Group is one of the leading providers in Financial Services.  It is based in Arlington; VA.  To find more information about Associated Agency Group; please visit www.aag-services.com,,,,
Anne Arundel Health System,www.aahs.org,,$250-500 Million,0-25,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,2001 Medical Pkwy,,Annapolis,United States,MD,21401-3280,443.481.1000,,Anne Arundel Medical Center (AAMC); a subsidiary of Anne Arundel Health System; Inc.; is a non-profit healthcare organization; licensed and accredited by the Joint Commission on Accreditation for Health Care Organizations.        ,,,,
American Agricultural Insurance Co,www.aaic.com,,$10-50 Million,0-25,Real Estate & Construction : Real Estate and Construction Other,,,1600 W Broadway Rd Ste 200,,Tempe,United States,AZ,85282-1136,602.957.9191,,American Agricultural Insurance Co is one of the leading providers in Real Estate & Construction.  It is based in Tempe; AZ.  To find more information about American Agricultural Insurance Co; please visit www.aaic.com,,,,
American Access Casualty Company,www.aains.com,,$10-50 Million,25-100,Financial Services : Financial Services Other,,,250 E 87th St Apt 22c,,New York,United States,NY,10128-3101,212.945.8501,,American Access Casualty Company is one of the leading providers in Financial Services.  It is based in New York; NY.  To find more information about American Access Casualty Company; please visit www.aains.com,,,,
AAIPharma Services Corp.,www.aaipharma.com,,$100-250 Million,0-25,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,2320 Scientific Park Dr,,Wilmington,United States,NC,28405-1800,910.254.7000,,aaiPharma Inc. (aaiPharma) is a science-based pharmaceutical company offering pharmaceutical development capabilities primarily in the United States and Europe.                    ,,,,
Ad Astra,www.aais.com,,$0-1 Million,0-25,Education : Education Other,,,6900 W 80th St Ste 300,,Overland Park,United States,KS,66204-3837,888.343.1092,,Ad Astra is one of the leading providers in Education.  It is based in Overland Park; KS.  To find more information about Ad Astra; please visit www.aais.com,,,,
AAJ Technologies,www.aajtech.com,,$1-10 Million,0-25,Computers & Electronics : Computers & Electronics Other,,,6301 NW 5th Way Ste 1700,,Fort Lauderdale,United States,FL,33309-6176,800.443.5210,,AAJ Technologies is a world-class provider of IT services and solutions. As a Microsoft Gold Certified Partner; AAJ focuses on better enabling clients with improved access to information for more informed decision making.      ,,,,
American Academy of Religion,www.aarweb.org,,$1-10 Million,25-100,Education : Education Other,,,825 Houston Mill Rd NE Ste 300,,Atlanta,United States,GA,30329-4205,404.727.2270,,American Academy of Religion is one of the leading providers in Education.  It is based in Atlanta; GA.  To find more information about American Academy of Religion; please visit www.aarweb.org,,,,
AaSys,www.aasysgroup.com,,$1-10 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,11301 N Us Highway 301 Ste 106,,Thonotosassa,United States,FL,33592-3603,813.246.4757,,AaSys is one of the leading providers in Computers & Electronics.  It is based in Thonotosassa; FL.  To find more information about AaSys; please visit www.aasysgroup.com.,,,,
Advanced Analytical Technologies; Inc.,www.aati-us.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,2711 S Loop Dr Ste 4150,,Ames,United States,IA,50010-8648,515.296.6600,,Advanced Analytical Technologies; Inc. is one of the leading providers in Business Services.  It is based in Ames; IA.  To find more information about Advanced Analytical Technologies; Inc.; please visit www.aati-us.com.,,,,
AAVID Thermalloy LLC,www.aavid.com,,$100-250 Million,250-1000,Computers & Electronics : Computers & Electronics Other,,,70 Commercial St,,Concord,United States,NH,03301-5031,603.224.9988,,AAVID Thermalloy LLC is one of the leading providers in Computers & Electronics.  It is based in Concord; NH.  To find more information about AAVID Thermalloy LLC; please visit www.aavid.com.,,,,
Abacus Solutions; LLC,www.abacusllc.com,,$50-100 Million,250-1000,Computers & Electronics : Computers & Electronics Other,,,1190 Kennestone Cir,,Marietta,United States,GA,30066-6019,770.738.1101,,Abacus Solutions is a leading provider in pre-owned and new hardware. We buy; sell; rent; and lease enterprise-level hardware.                    ,,,,
Abbott Capital Management; LLC,www.abbottcapital.com,,$0-1 Million,0-25,Financial Services : Financial Services Other,,,10 Sycamore Dr,,Bethalto,United States,IL,62010-1064,618.377.5930,,Abbott Capital Management; LLC is one of the leading providers in Financial Services.  It is based in Bethalto; IL.  To find more information about Abbott Capital Management; LLC; please visit www.abbottcapital.com,,,,
Abbott House,www.abbotthouse.net,,$1-10 Million,100-250,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,100 N Broadway,,Irvington,United States,NY,10533-1254,914.591.7300,,The Abbott Union Free School District provides programs especially designed for children with special needs.                        ,,,,
ABC;  Inc.,www.abc.com,,> $1 Billion,1K-10K,Media & Entertainment : Media & Entertainment Other,,,77 W 66th St New York,,New York,United States,NY,10023-6201,212.314.5678,,American Broadcasting Company (ABC; Inc.); through its divisions; subsidiaries; and affiliates; operates as a media company. It owns and operates television stations and radio stations. The company is based in New York; New York.     ,,,,
ABC;  Inc.,www.abc.com,,> $1 Billion,1K-10K,Media & Entertainment : Media & Entertainment Other,,,77 W 66th St New York,,New York,United States,NY,10023-6201,212.314.5678,,American Broadcasting Company (ABC; Inc.); through its divisions; subsidiaries; and affiliates; operates as a media company. It owns and operates television stations and radio stations. The company is based in New York; New York.     ,,,,
Aloysius Butler & Clark,www.a-b-c.com,,$1-10 Million,100-250,Business Services : Business Services Other,,,819 N Washington St,,Wilmington,United States,DE,19801-1595,302.328.3347,,AB&C also recently created collateral materials and business-to-business print advertising for Burris Logistics Company; which operates a network of 13 frozen food warehouses in the eastern U.S.            ,,,,
Association of the Bar City of New York,www.abcny.org,,$1-10 Million,0-25,Education : Education Other,,,42 W 44th St,,New York,United States,NY,10036-6604,212.382.6600,,Association of the Bar City of New York is one of the leading providers in Education.  It is based in New York; NY.  To find more information about Association of the Bar City of New York; please visit www.abcny.org,,,,
AbelsonTaylor Inc,www.abelsontaylor.com,,$50-100 Million,250-1000,Business Services : Business Services Other,,,33 W Monroe St Ste 600,,Chicago,United States,IL,60603-5315,312.894.5500,,AbelsonTaylor Inc is one of the leading providers in Business Services.  It is based in Chicago; IL.  To find more information about AbelsonTaylor Inc; please visit www.abelsontaylor.com.,,,,
AbeTech Inc,www.abetech.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,12560 Fletcher Ln Ste 100,,Rogers,United States,MN,55374-4709,763.428.3170,,AbeTech Inc is one of the leading providers in Business Services.  It is based in Rogers; MN.  To find more information about AbeTech Inc; please visit www.abetech.com.,,,,
AbeTech Inc,www.abetech.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,12560 Fletcher Ln Ste 100,,Rogers,United States,MN,55374-4709,763.428.3170,,AbeTech Inc is one of the leading providers in Business Services.  It is based in Rogers; MN.  To find more information about AbeTech Inc; please visit www.abetech.com.,,,,
Abg Sundal Collier; Inc,www.abgsc.com,,$1-10 Million,100-250,Business Services : Business Services Other,,,535 Madison Ave New York,,New York,United States,NY,10022-4214,212.605.3800,,We provide investment banking; stock broking and corporate advisory services that encompass the needs of both international investors; and Nordic business clients.                 ,,,,
Abilities Inc.,www.abilitiesonline.org,,$1-10 Million,25-100,Business Services : Business Services Other,,,201 I U Willets Rd,,Albertson,United States,NY,11507-1516,516.747.5400,,Abilities Inc. is one of the leading providers in Business Services.  It is based in Albertson; NY.  To find more information about Abilities Inc.; please visit www.abilitiesonline.org.,,,,
Abington Twnshp Pub Works Dpt,www.abington.org,,$1-10 Million,0-25,Business Services : Business Services Other,,,2211 Florey Ln,,Abington,United States,PA,19001-4418,215.884.5000,,Abington Twnshp Pub Works Dpt is one of the leading providers in Business Services.  It is based in Abington; PA.  To find more information about Abington Twnshp Pub Works Dpt; please visit www.abington.org.,,,,
Abkco Music & Records,www.abkco.com,,$1-10 Million,25-100,Media & Entertainment : Media & Entertainment Other,,,1700 Broadway New York,,New York,United States,NY,10019-5905,212.399.0309,,About ABKCO: ABKCO Records is a subsidiary of ABKCO Music and Records; Inc.                          ,,,,
AbleNet Inc,www.ablenetinc.com,,$1-10 Million,25-100,Education : Education Other,,,2808 Fairview Ave N,,Saint Paul,United States,MN,55113-1308,651.294.2200,,AbleNet Inc is one of the leading providers in Education.  It is based in Saint Paul; MN.  To find more information about AbleNet Inc; please visit www.ablenetinc.com,,,,
Able Planet; Inc,www.ableplanet.com,,$1-10 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,9500 W 49th Ave Ste b102,,Wheat Ridge,United States,CO,80033-2240,303.215.9770,,Able Planet; Inc is one of the leading providers in Computers & Electronics.  It is based in Wheat Ridge; CO.  To find more information about Able Planet; Inc; please visit www.ableplanet.com.,,,,
Amalgamated Bank of Chicago,www.aboc.com,,$50-100 Million,0-25,Financial Services : Financial Services Other,,,2 Main St,,Canadian,United States,TX,79014-2000,806.323.8000,,Amalgamated Bank of Chicago is one of the leading providers in Financial Services.  It is based in Canadian; TX.  To find more information about Amalgamated Bank of Chicago; please visit www.aboc.com,,,,
St. Margaret's Hospital,www.aboutsmh.org,,$10-50 Million,25-100,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,600 E 1st St,,Spring Valley,United States,IL,61362-1512,815.664.2700,,St. Margaret's Hospital is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Spring Valley; IL.  To find more information about St. Margaret's Hospital; please visit www.aboutsmh.org,,,,
Abrams Capital,www.abramscapital.com,,$0-1 Million,0-25,Business Services : Business Services Other,,,222 Berkeley St,,Boston,United States,MA,02116-3748,617.646.6113,,Abrams Capital is one of the leading providers in Business Services.  It is based in Boston; MA.  To find more information about Abrams Capital; please visit www.abramscapital.com.,,,,
Abraxas Business Services,www.abraxas.biz,,$1-10 Million,0-25,Business Services : Business Services Other,,,337 Georgia Ave SE,,Atlanta,United States,GA,30312-3109,404.351.5144,,Abraxas Business Services is one of the leading providers in Business Services.  It is based in Atlanta; GA.  To find more information about Abraxas Business Services; please visit www.abraxas.biz.,,,,
ABRY Partners LLC,www.abry.com,,$10-50 Million,0-25,Financial Services : Financial Services Other,,,221 Front St,,Beaver Dam,United States,WI,53916-1605,920.887.9525,,ABRY Partners LLC is one of the leading providers in Financial Services.  It is based in Beaver Dam; WI.  To find more information about ABRY Partners LLC; please visit www.abry.com,,,,
ABRY Partners LLC,www.abry.com,,$10-50 Million,1K-10K,Financial Services : Financial Services Other,,,111 Huntington Ave,,Boston,United States,MA,02199-7610,617.859.2959,,Founded in 1989; ABRY Partners is one of the most experienced and successful media; communications; business and information services focused private equity investment firms in North America.            ,,,,
ABRY Partners LLC,www.abry.com,,$10-50 Million,1K-10K,Financial Services : Financial Services Other,,,111 Huntington Ave,,Boston,United States,MA,02199-7610,617.859.2959,,Founded in 1989; ABRY Partners is one of the most experienced and successful media; communications; business and information services focused private equity investment firms in North America.            ,,,,
ABS Capital Partners,www.abscapital.com,,$10-50 Million,25-100,Financial Services : Financial Services Other,,,8535 W West Knoll Dr,,West Hollywood,United States,CA,90069-4143,310.652.3775,,ABS Capital Partners is one of the leading providers in Financial Services.  It is based in West Hollywood; CA.  To find more information about ABS Capital Partners; please visit www.abscapital.com,,,,
ABS-CBN Network,www.abs-cbn.com,,$50-100 Million,250-1000,Media & Entertainment : Media & Entertainment Other,,,150 Shoreline Dr,,Redwood City,United States,CA,94065-1400,650.508.6000,,ABS-CBN Network is one of the leading providers in Media & Entertainment.  It is based in Redwood City; CA.  To find more information about ABS-CBN Network; please visit www.abs-cbn.com.,,,,
ABS Group of Companies,www.abs-group.com,,$50-100 Million,100-250,Business Services : Business Services Other,,,16855 Northchase Dr,,Houston,United States,TX,77060-6006,281.673.2800,,(Houston; TX---) ABS; the classification society that pioneered the establishment of safety standards for the carriage of liquefied natural gas (LNG); has been selected to assist the partnership among EnerSea Transport LLC of Houston; Texas; Hyundai   ,,,,
Absolute Consulting,www.absoluteconsulting.com,,$10-50 Million,250-1000,Energy & Utilities : Energy & Utilities Other,,,2049 Barksdale St,,Port Charlotte,United States,FL,33948-1907,602.393.6188,,Absolute Consulting is one of the leading providers in Energy & Utilities.  It is based in Port Charlotte; FL.  To find more information about Absolute Consulting; please visit www.absoluteconsulting.com.,,,,
Absorption Systems,www.absorption.com,,$10-50 Million,0-25,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,436 Creamery Way,,Exton,United States,PA,19341-2556,610.280.7300,,Absorption Systems is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Exton; PA.  To find more information about Absorption Systems; please visit www.absorption.com,,,,
Academy of Art University,www.academyart.edu,,$0-1 Million,0-25,Education : Education Other,,,79 New Montgomery St,,San Francisco,United States,CA,94105-3410,415.274.2200,,With nearly 12000 students; Academy of Art University is the nation's largest private art and design university.                      ,,,,
Academy Mortgage Corporation,www.academymortgage.com,,$10-50 Million,25-100,Financial Services : Financial Services Other,,,1120 Connecticut Ave NW,,Washington,United States,DC,20036-3902,202.663.5580,,Academy Mortgage Corporation is one of the leading providers in Financial Services.  It is based in Washington; DC.  To find more information about Academy Mortgage Corporation; please visit www.academymortgage.com,,,,
Academy Mortgage Corporation,www.academymortgage.com,,$1-10 Million,25-100,Financial Services : Financial Services Other,,,2101 Rosecrans Ave Ste 4255,,El Segundo,United States,CA,90245-4766,310.640.0100,,Academy Mortgage Corporation is one of the leading providers in Financial Services.  It is based in El Segundo; CA.  To find more information about Academy Mortgage Corporation; please visit www.academymortgage.com,,,,
Acadian Ambulance Service,www.acadian.com,,$250-500 Million,25-100,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,130 E Kaliste Saloom Rd,,Lafayette,United States,LA,70508-8308,337.291.3333,,Acadian Ambulance Service is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Lafayette; LA.  To find more information about Acadian Ambulance Service; please visit www.acadian.com,,,,
Acadian Ambulance Service,www.acadian.com,,$250-500 Million,1K-10K,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,130 E Kaliste Saloom Rd,,Lafayette,United States,LA,70508-8308,337.291.3333,,Acadian Ambulance Service is one of the leading providers in Healthcare; Pharmaceuticals; & Biotech.  It is based in Lafayette; LA.  To find more information about Acadian Ambulance Service; please visit www.acadian.com.,,,,
Acadian Asset Management LLC,www.acadian-asset.com,,$0-1 Million,0-25,Financial Services : Financial Services Other,,,280 85th St,,Brooklyn,United States,NY,11209,718.492.1671,,Acadian Asset Management LLC is one of the leading providers in Financial Services.  It is based in Brooklyn; NY.  To find more information about Acadian Asset Management LLC; please visit www.acadian-asset.com,,,,
